model_id,model_kind,calib_subset,target_id,layer,metric,value,n_prompts,Domain (i),F_i,Specialist id,Specialist score,Merged/model score
aim_on_breadcrumbs,candidate,instruction,instr_only,0,mmd_rbf,0.002036908408626914,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,0,projected_js,0.03486173191049602,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,1,mmd_rbf,0.0029638619162142277,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,1,projected_js,0.03637555486056954,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,2,mmd_rbf,0.0036002607084810734,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,2,projected_js,0.04131668597983662,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,3,mmd_rbf,0.0037589191924780607,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,3,projected_js,0.042351654497906566,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,4,mmd_rbf,0.004286413546651602,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,4,projected_js,0.045109444836270995,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,5,mmd_rbf,0.005033442284911871,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,5,projected_js,0.04611299332464114,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,6,mmd_rbf,0.003935471177101135,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,6,projected_js,0.04704793417477049,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,7,mmd_rbf,0.0034527555108070374,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,7,projected_js,0.05000847257906571,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,8,mmd_rbf,0.0029447865672409534,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,8,projected_js,0.04811264091404155,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,9,mmd_rbf,0.0030312195885926485,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,9,projected_js,0.05391237587900832,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,10,mmd_rbf,0.0031068753451108932,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,10,projected_js,0.05356862602639012,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,11,mmd_rbf,0.0028182663954794407,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,11,projected_js,0.056753036507871,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,12,mmd_rbf,0.0027467533946037292,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,12,projected_js,0.05353909620316699,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,13,mmd_rbf,0.002873443765565753,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,13,projected_js,0.05666688299970701,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,14,mmd_rbf,0.0028216836508363485,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,14,projected_js,0.054871119966264814,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,15,mmd_rbf,0.0030023136641830206,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,15,projected_js,0.05907061300240457,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
aim_on_breadcrumbs,candidate,instruction,instr_only,16,mmd_rbf,0.0032043922692537308,128,B_if,0.0369685767097967,instr_only,0.8170055452865065,0.7800369685767098
