model_id,model_kind,metric,Domain (i),calib_subset,target_id,Specialist id,F_i,Specialist score,Merged/model score,n_layers,n_prompts,layer_mean_distance,layer_median_distance,layer_std_distance,layer_min_distance,layer_max_distance,min_layer,max_layer
aim_on_breadcrumbs,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.0369685767097967,0.8170055452865065,0.7800369685767098,36,128,0.005568887585670584,0.004185074241831899,0.007599219220721955,0.002036908408626914,0.049853235483169556,0,35
aim_on_breadcrumbs,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.05555555555555558,0.5858585858585859,0.5303030303030303,36,128,0.0032616393614767324,0.0022966653341427445,0.006026442550309092,0.0012082785833626986,0.038753632456064224,0,35
aim_on_breadcrumbs,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,-0.0022744503411675776,0.8208112206216831,0.8230856709628507,36,128,0.010063692966165641,0.010091633535921574,0.0029083345444533342,0.003917444031685591,0.020515553653240204,0,35
aim_on_breadcrumbs,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.24106846165257376,0.24281690402017506,0.4838853656727488,36,128,0.062405563347662486,0.05008178390562534,0.05212922859500724,0.015604841522872448,0.24098746478557587,0,1
aim_on_breadcrumbs,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.0369685767097967,0.8170055452865065,0.7800369685767098,36,128,0.057241054160840577,0.057756422451348044,0.011860381673557418,0.03486173191049602,0.10745626484276727,0,35
aim_on_breadcrumbs,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.05555555555555558,0.5858585858585859,0.5303030303030303,36,128,0.04980969967719931,0.05099135031923652,0.008833636868205375,0.03297835796547588,0.08827726426534355,0,35
aim_on_breadcrumbs,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,-0.0022744503411675776,0.8208112206216831,0.8230856709628507,36,128,0.06283622513728915,0.06320083880564198,0.004073255278569692,0.04714389465516433,0.07106418715557083,0,35
aim_on_breadcrumbs,candidate,projected_js,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.24106846165257376,0.24281690402017506,0.4838853656727488,36,128,0.10643341011665244,0.09540149784879759,0.04135114204313764,0.06817102921195328,0.2591389070439618,0,1
aim_on_breadcrumbs__calib_general,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.04251386321626616,0.8170055452865065,0.7744916820702403,36,128,0.005534083621265988,0.004154206020757556,0.00756289252710579,0.002043667482212186,0.049626436084508896,0,35
aim_on_breadcrumbs__calib_general,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.10606060606060608,0.5858585858585859,0.4797979797979798,36,128,0.0032568198706333837,0.0022979313507676125,0.006003006557143871,0.0012116701109334826,0.038612306118011475,0,35
aim_on_breadcrumbs__calib_general,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,-0.05151630022744502,0.8208112206216831,0.8723275208491281,36,128,0.010031382139358256,0.010067158844321966,0.00290428952705435,0.003906145691871643,0.02052379585802555,0,35
aim_on_breadcrumbs__calib_general,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.23866627725856696,0.24281690402017506,0.481483181278742,36,128,0.06229944242578414,0.04990926943719387,0.05212265627191336,0.015632862225174904,0.24096325039863586,0,1
aim_on_breadcrumbs__calib_general,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.04251386321626616,0.8170055452865065,0.7744916820702403,36,128,0.05718403234863621,0.05811399922822602,0.011780396984669374,0.0347984018153511,0.10695237049367279,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.10606060606060608,0.5858585858585859,0.4797979797979798,36,128,0.04976393451943295,0.050517600029706955,0.008659387185520675,0.03335529315518215,0.0868090929579921,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,-0.05151630022744502,0.8208112206216831,0.8723275208491281,36,128,0.06279371653120809,0.06362313983845524,0.004200512742201492,0.04723009461304173,0.07110986619954929,0,35
