model_id,model_kind,metric,calib_subset,target_id,n_layers,n_prompts,layer_mean_distance,layer_median_distance,layer_std_distance,layer_min_distance,layer_max_distance,min_layer,max_layer
aim_on_breadcrumbs,candidate,mmd_rbf,general,base,36,128,0.008438145276159048,0.0066848150454461575,0.006735130829311066,0.005188716109842062,0.0469503290951252,31,35
aim_on_breadcrumbs,candidate,mmd_rbf,general,instr_only,36,128,0.005802732944074605,0.004568194737657905,0.008204816472924599,0.002811694284901023,0.054001715034246445,11,35
aim_on_breadcrumbs,candidate,mmd_rbf,general,reasoning_only,36,128,0.013185142487701442,0.011722477152943611,0.004329505015923556,0.008731125853955746,0.024126514792442322,34,4
aim_on_breadcrumbs,candidate,mmd_rbf,general,uncensored_only,36,128,0.028663920833625726,0.013699043542146683,0.03767480407129848,0.008883262053132057,0.17018456757068634,0,1
aim_on_breadcrumbs,candidate,mmd_rbf,instruction,base,36,128,0.011945861753904156,0.010848491452634335,0.005425417065018534,0.00394821772351861,0.0409531407058239,0,35
aim_on_breadcrumbs,candidate,mmd_rbf,instruction,instr_only,36,128,0.005568887585670584,0.004185074241831899,0.007599219220721955,0.002036908408626914,0.049853235483169556,0,35
aim_on_breadcrumbs,candidate,mmd_rbf,instruction,reasoning_only,36,128,0.01664396958787822,0.016803188249468803,0.0028374062855918685,0.006529543083161116,0.02177063748240471,0,5
aim_on_breadcrumbs,candidate,mmd_rbf,instruction,uncensored_only,36,128,0.02764600852970034,0.016580449417233467,0.029741521631704182,0.0060099451802670956,0.13565881550312042,0,1
aim_on_breadcrumbs,candidate,mmd_rbf,reasoning,base,36,128,0.006509344145241711,0.005971234757453203,0.003769718960756265,0.0025504902005195618,0.028098439797759056,0,35
aim_on_breadcrumbs,candidate,mmd_rbf,reasoning,instr_only,36,128,0.0032616393614767324,0.0022966653341427445,0.006026442550309092,0.0012082785833626986,0.038753632456064224,0,35
aim_on_breadcrumbs,candidate,mmd_rbf,reasoning,reasoning_only,36,128,0.010063692966165641,0.010091633535921574,0.0029083345444533342,0.003917444031685591,0.020515553653240204,0,35
aim_on_breadcrumbs,candidate,mmd_rbf,reasoning,uncensored_only,36,128,0.01803439558716491,0.01071079634130001,0.019445200507934603,0.0033274113666266203,0.08519870042800903,0,1
aim_on_breadcrumbs,candidate,mmd_rbf,uncensored_refusal_like,base,36,128,0.04087128037483328,0.040985019877552986,0.01742364817286764,0.010940968990325928,0.11849560588598251,0,35
