parent_id,aim_model_id,aim_calibration,focus_domain,bundle_id,specialist_id,calibration_relation,activation_probe_subset,specialist_bundle_score,parent_bundle_score,aim_bundle_score,delta_bundle_score,parent_F_i,aim_F_i,delta_F_i,parent_aggregate,aim_aggregate,delta_aggregate,parent_if_score,aim_if_score,delta_if_score,parent_reasoning_math_score,aim_reasoning_math_score,delta_reasoning_math_score,parent_reasoning_long_score,aim_reasoning_long_score,delta_reasoning_long_score,parent_safety_score,aim_safety_score,delta_safety_score,parent_to_specialist_mmd,aim_to_specialist_mmd,delta_to_specialist_mmd,parent_to_specialist_js,aim_to_specialist_js,delta_to_specialist_js,parent_to_base_mmd,aim_to_base_mmd,delta_to_base_mmd,parent_to_base_js,aim_to_base_js,delta_to_base_js
breadcrumbs_best,aim_on_breadcrumbs__calib_general,general,instruction,B_if,instr_only,general_far,instruction,0.817005545287,0.778188539741,0.77449168207,-0.00369685767098,0.0388170055453,0.0425138632163,0.00369685767098,0.671004193445,0.670682392169,-0.000321801275555,0.778188539741,0.77449168207,-0.00369685767098,0.840131412686,0.872327520849,0.0321961081627,0.525252525253,0.479797979798,-0.0454545454545,0.540444296099,0.556112385959,0.0156680898606,0.00553057878278,,,0.0571705872616,,,0.0141440809109,,,0.0699166505648,,
breadcrumbs_best,aim_on_breadcrumbs__calib_general,general,reasoning_long,B_reasoning_long,instr_only,general_far,reasoning,0.585858585859,0.525252525253,0.479797979798,-0.0454545454545,0.0606060606061,0.106060606061,0.0454545454545,0.671004193445,0.670682392169,-0.000321801275555,0.778188539741,0.77449168207,-0.00369685767098,0.840131412686,0.872327520849,0.0321961081627,0.525252525253,0.479797979798,-0.0454545454545,0.540444296099,0.556112385959,0.0156680898606,0.00336673730635,,,0.0503214558198,,,0.00791240578595,,,0.0600639987064,,
breadcrumbs_best,aim_on_breadcrumbs__calib_general,general,reasoning_math,B_reasoning_math,reasoning_only,general_far,reasoning,0.820811220622,0.840131412686,0.872327520849,0.0321961081627,-0.0193201920647,-0.0515163002274,-0.0321961081627,0.671004193445,0.670682392169,-0.000321801275555,0.778188539741,0.77449168207,-0.00369685767098,0.840131412686,0.872327520849,0.0321961081627,0.525252525253,0.479797979798,-0.0454545454545,0.540444296099,0.556112385959,0.0156680898606,0.00970326043898,,,0.0621853601689,,,0.00791240578595,,,0.0600639987064,,
breadcrumbs_best,aim_on_breadcrumbs__calib_general,general,uncensored,B_uncensored,uncensored_only,general_far,uncensored_refusal_like,0.24281690402,0.468740542946,0.481483181279,0.0127426383326,-0.225923638926,-0.238666277259,-0.0127426383326,0.671004193445,0.670682392169,-0.000321801275555,0.778188539741,0.77449168207,-0.00369685767098,0.840131412686,0.872327520849,0.0321961081627,0.525252525253,0.479797979798,-0.0454545454545,0.540444296099,0.556112385959,0.0156680898606,0.0603197995677,,,0.104916025109,,,0.0466724791461,,,0.0943592497311,,
breadcrumbs_best,aim_on_breadcrumbs__calib_instruction,instruction,instruction,B_if,instr_only,matched,instruction,0.817005545287,0.778188539741,0.781885397412,0.00369685767098,0.0388170055453,0.0351201478743,-0.00369685767098,0.671004193445,0.674791830133,0.00378763668882,0.778188539741,0.781885397412,0.00369685767098,0.840131412686,0.842784938084,0.00265352539803,0.525252525253,0.515151515152,-0.010101010101,0.540444296099,0.559345469886,0.0189011737873,0.00553057878278,,,0.0571705872616,,,0.0141440809109,,,0.0699166505648,,
breadcrumbs_best,aim_on_breadcrumbs__calib_instruction,instruction,reasoning_long,B_reasoning_long,instr_only,off_domain,reasoning,0.585858585859,0.525252525253,0.515151515152,-0.010101010101,0.0606060606061,0.0707070707071,0.010101010101,0.671004193445,0.674791830133,0.00378763668882,0.778188539741,0.781885397412,0.00369685767098,0.840131412686,0.842784938084,0.00265352539803,0.525252525253,0.515151515152,-0.010101010101,0.540444296099,0.559345469886,0.0189011737873,0.00336673730635,,,0.0503214558198,,,0.00791240578595,,,0.0600639987064,,
breadcrumbs_best,aim_on_breadcrumbs__calib_instruction,instruction,reasoning_math,B_reasoning_math,reasoning_only,off_domain,reasoning,0.820811220622,0.840131412686,0.842784938084,0.00265352539803,-0.0193201920647,-0.0219737174627,-0.00265352539803,0.671004193445,0.674791830133,0.00378763668882,0.778188539741,0.781885397412,0.00369685767098,0.840131412686,0.842784938084,0.00265352539803,0.525252525253,0.515151515152,-0.010101010101,0.540444296099,0.559345469886,0.0189011737873,0.00970326043898,,,0.0621853601689,,,0.00791240578595,,,0.0600639987064,,
breadcrumbs_best,aim_on_breadcrumbs__calib_instruction,instruction,uncensored,B_uncensored,uncensored_only,off_domain,uncensored_refusal_like,0.24281690402,0.468740542946,0.482830996885,0.0140904539386,-0.225923638926,-0.240014092865,-0.0140904539386,0.671004193445,0.674791830133,0.00378763668882,0.778188539741,0.781885397412,0.00369685767098,0.840131412686,0.842784938084,0.00265352539803,0.525252525253,0.515151515152,-0.010101010101,0.540444296099,0.559345469886,0.0189011737873,0.0603197995677,,,0.104916025109,,,0.0466724791461,,,0.0943592497311,,
breadcrumbs_best,aim_on_breadcrumbs,mix,instruction,B_if,instr_only,mixed,instruction,0.817005545287,0.778188539741,0.780036968577,0.00184842883549,0.0388170055453,0.0369685767098,-0.00184842883549,0.671004193445,0.673668256858,0.00266406341297,0.778188539741,0.780036968577,0.00184842883549,0.840131412686,0.823085670963,-0.0170457417235,0.525252525253,0.530303030303,0.0050505050505,0.540444296099,0.561247357588,0.0208030614894,0.00553057878278,,,0.0571705872616,,,0.0141440809109,,,0.0699166505648,,
breadcrumbs_best,aim_on_breadcrumbs,mix,reasoning_long,B_reasoning_long,instr_only,mixed,reasoning,0.585858585859,0.525252525253,0.530303030303,0.0050505050505,0.0606060606061,0.0555555555556,-0.0050505050505,0.671004193445,0.673668256858,0.00266406341297,0.778188539741,0.780036968577,0.00184842883549,0.840131412686,0.823085670963,-0.0170457417235,0.525252525253,0.530303030303,0.0050505050505,0.540444296099,0.561247357588,0.0208030614894,0.00336673730635,,,0.0503214558198,,,0.00791240578595,,,0.0600639987064,,
